,DBN,School Name,Year,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
6387,14K126,JOHN ERICSSON MIDDLE SCHOOL 126,2015,75,283.0,41.0,25.0,8.0,1.0
6431,14K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,2015,55,286.0,23.0,25.0,6.0,1.0
6491,14K318,I.S. 318 EUGENIO MARIA DE HOSTOS,2015,328,289.0,116.0,184.0,27.0,1.0
6503,14K330,THE SCHOOL FOR THE URBAN ENVIRONMENT,2015,14,275.0,10.0,3.0,1.0,0.0
6533,14K577,CONSELYEA PREPARATORY SCHOOL,2015,85,278.0,49.0,34.0,2.0,0.0
6556,14K586,LYONS COMMUNITY SCHOOL,2015,64,266.0,48.0,16.0,0.0,0.0
6569,14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,2015,40,296.0,12.0,22.0,4.0,2.0
6677,15K051,M.S. 51 WILLIAM ALEXANDER,2015,179,316.0,23.0,68.0,72.0,16.0
6701,15K088,J.H.S. 088 PETER ROUGET,2015,245,298.0,69.0,139.0,31.0,6.0
6774,15K136,I.S. 136 CHARLES O. DEWEY,2015,145,279.0,90.0,45.0,7.0,3.0
6880,15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,2015,28,277.0,19.0,7.0,2.0,0.0
